SUBJECT_CODE,SUBJECT_NAME,CREDITS
2014104,Basic Electrical & Electronics Engineering,3
2021101,Linear Algebra and Calculus,3
20EC102,Engineering Chemistry,3
2005106,IT Workshop,1.5
2005108,C-Programming & Data Structures Lab,1.5
2014109,Basic Electrical & Electronics Engineering Lab,1.5
20EC107,Engineering Chemistry Lab,1.5
20EW105,Engineering Workshop,1.5
2003205,Engineering Drawing,2
2005204,Python Programming,3
2021201,Differential Equations and Vector Calculus,3
2024203,Communicative English,3
20AP202,Applied Physics,3
2003206,Engineering Drawing Lab,1
2005209,Python Programming Lab,1.5
2024208,Communicative English Lab,1.5
20AP207,Applied Physics Lab,1.5
20MC211,Universal human values(mandatory subject),0
2005302,Advanced data Structures,3
2005303,Formal Languages and Automata theory,3
2005304,Object Oriented Programming Through Java,3
2005305,Database Management Systems,3
2024301,Business Economics and accounting for engineering,3
2005306,Advanced Data Structures Lab,1.5
2005307,Java Lab,1.5
2005308,Database Management Systems Lab,1.5
2005309,Exploring data analysis with R(skilled course),2
20MC311,Environmental Science(Mandatory Subject),0
2005SC6,Data Science For Begineers,2
20MC612,Management Organizational Behavior,0
20993M3,Constitution of India,0
18999M1,Organizational Behavior,0
2002SC6,Data Science For Begineers,2
20OE603,"MATHEMATICAL STATISTICS FOR DATA SCIENCE
& DATA ANALYTICS (OPEN ELECTIVE)",3
2005103,C-Programming & Data Structures ,3
2014104,Basic Electrical & Electronics Engineering,3
2021101,Linear Algebra and Calculus,3
20EC102,Engineering Chemistry,3
2005106,IT Workshop,1.5
2005108,C-Programming & Data Structures Lab,1.5
2014109,Basic Electrical & Electronics Engineering Lab,1.5
20EC107,Engineering Chemistry Lab,1.5
20EW105,Engineering Workshop,1.5
2003205,Engineering Drawing,2
2005204,Python Programming,3
2021201,Differential Equations and Vector Calculus,3
2024203,Communicative English,3
20AP202,Applied Physics,3
2003206,Engineering Drawing Lab,1
2005209,Python Programming Lab,1.5
2024208,Communicative English Lab,1.5
20AP207,Applied Physics Lab,1.5
20MC211,Universal human values(mandatory subject),0
2005302,Advanced data Structures,3
2005303,Formal Languages and Automata theory,3
2005304,Object Oriented Programming Through Java,3
2005305,Database Management Systems,3
2024301,Business Economics and accounting for engineering,3
2005306,Advanced Data Structures Lab,1.5
2005307,Java Lab,1.5
2005308,Database Management Systems Lab,1.5
2005309,Exploring data analysis with R(skilled course),2
20MC311,Environmental Science(Mandatory Subject),0
2004403,MICROPROCESSORS AND MICROCONTROLLERS,3
2005401,PRINCIPLES OF OPERATING SYSTEMS,3
2005402,COMPUTER ORGANIZATION,3
2005404,DIGITAL LOGIC CIRCUITS & DESIGN,3
2021405,PROABABILITY THEORY AND STATISTICAL METHODS,3
2005407,PRINCIPLES OF OPERATING SYSTEMS LAB,1.5
2005408,DIGITAL LOGIC DESIGN LAB,1.5
2005409,ADVANCED PYTHON PROGRAMMING LAB (SKILL ORIENTED),2
2014406,MICROPROCESSORS & MICROCONTROLLERS LAB,1.5
2005501,SOFTWARE ENGINEERING,3
2005502,DESIGN AND ANALYSIS OF ALGORITHMS,3
2005503,COMPUTER NETWORKS,3
2005504,WEB TECHNOLOGIES,3
20OE507,EMPLOYABILITY SKILLS,3
2005507,DESIGN AND ANALYSIS OF ALGORITHMS LAB,1.5
2005508,WEB TECHNOLOGY LAB,1.5
20245SC,ADVANCED ENGLISH AND COMMUNICATION LAB,2
2005510,COMMUNITY SERVICE PROJECT,1.5
